Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
2,329.4,4,8.14,2.21,14.44,1,0,76648.2
1,18.67,2,4.77,4.36,42.91,2,0,68725.54
7,306.03,1,2.91,0.56,33.44,4,0,75538.56
8,380.21,3,3.32,4.35,34.08,4,2,45401.23
8,135.56,4,8.33,4.48,43.28,0,2,93718.69
7,12.5,4,6.42,2.25,38.18,1,2,46487.98
6,360.06,0,1.83,2.37,44.93,3,1,40583.57
5,464.6,0,5.18,0.91,4.23,4,0,9392.38
3,389.37,0,0.57,4.93,3.86,2,1,60202.14
6,184.37,0,2.18,2.67,17.25,3,0,90922.15
5,279.95,0,8.02,1.24,32.85,0,2,5869.75
7,145.32,1,3.01,2.27,8.08,0,0,88976.51
9,329.1,0,5.26,0.83,5.44,0,2,45922.35
5,246.02,1,1.01,3.45,11.38,3,1,71953.14
7,305.15,3,5.39,2.15,28.77,2,0,33615.77
0,60.22,1,2.19,0.35,16.03,3,2,25132.48
1,284.01,2,5.89,0.81,47.7,1,2,88301.46
3,128.23,3,4.91,0.77,16.67,1,1,18660.03
3,460.93,0,1.09,1.31,39.96,3,2,54314.28
0,58.85,4,3.61,3.32,18.85,3,0,92481.89
2,377.05,0,5.95,0.91,29.17,0,1,26743.55
9,92.67,1,6.95,3.64,30.7,0,1,42874.34
4,15.67,0,9.95,2.99,18.13,1,2,41862.86
5,483.88,0,6.31,2.29,34.46,0,2,61383.07
0,75.64,1,6.69,3.57,6.14,4,2,43847.82
9,162.28,1,5.85,2.42,24.63,1,1,65838.4
2,375.1,3,0.5,4.76,22.51,0,0,39362.44
8,256.19,1,7.32,2.19,48.02,4,1,81313.04
9,288.52,2,1.79,4.78,36.9,4,2,23208.04
4,286.52,3,8.91,0.77,30.5,1,2,93407.38
0,136.16,1,5.89,1.36,11.86,0,2,30098.35
1,350.42,1,8.4,2.94,24.34,0,1,71580.87
0,446.76,0,7.79,0.96,46.47,1,2,93656.06
8,264.12,0,4.75,4.79,12.92,1,1,92745.01
6,266.03,0,8.57,1.35,34.45,4,2,43610.21
2,446.16,2,4.35,3.47,12.53,1,2,38874.28
6,156.1,2,1.18,4.43,40.15,1,2,73646.55
0,431.22,0,5.71,3.18,45.95,4,0,36065.94
2,220.48,1,9.96,2.91,10.53,0,2,82549.03
2,166.82,3,2.85,1.36,46.19,3,2,12007.7
5,370.79,1,8.18,4.99,35.01,3,0,85208.71
7,418.99,4,0.78,0.58,26.29,0,2,33705.69
2,78.79,1,1.35,3.0,11.45,3,2,94754.73
6,84.12,2,4.64,2.53,24.77,3,1,40614.4
8,326.69,4,5.24,0.55,18.34,2,0,37466.11
1,112.8,4,1.8,1.01,31.57,0,0,79966.1
4,347.66,0,3.86,2.68,31.47,3,0,86989.88
4,77.39,4,9.34,3.0,20.53,4,2,5874.17
0,462.37,4,2.3,0.14,39.51,0,0,53879.87
8,292.25,3,4.08,0.76,45.14,4,0,90232.08
